GB86SXQ	GB86MC	TYPE	SPEC	YEAR	YEARA	BEDS	PERS	TECH	DAYS
110100	110100	1	1	1961	1961	196	626	443	1909
110100	110100	1	1	1949	1949	155	441	324	-99
110100	110100	1	1	1952	1952	354	831	554	1824
110100	110100	1	2	1921	1921	631	1977	1382	3118
110100	110100	1	1	1949	1949	279	1259	844	1243
110100	110100	1	3	1880	1880	609	1584	1066	3331
110100	110100	1	4	1956	1956	450	1156	796	3376
110100	110100	1	4	1951	1951	100	369	264	850
110100	110100	1	4	1958	1958	451	836	611	1719
110100	110100	1	5	1973	1973	300	525	327	81
110100	110100	1	2	1959	1959	284	760	483	860
110100	110100	1	2	1949	1949	120	322	219	300
110100	110100	1	6	1949	1949	70	228	155	780
110100	110100	1	7	1956	1956	590	1458	1014	2383
110100	110100	1	1	1945	1945	173	535	399	1170
110100	110100	1	1	1951	1951	350	816	616	1986
110100	110100	1	4	1975	1975	150	451	356	938
110100	110100	1	1	1916	1916	973	2148	1416	3366
110100	110100	1	8	1917	1917	379	966	690	1936
110100	110100	1	9	1962	1962	50	586	380	806
110100	110100	1	10	1949	1949	1620	1601	1010	482
110100	110100	1	6	1955	1955	700	1354	934	3028
110100	110100	1	11	1958	1958	343	932	612	440
110100	110100	1	14	1960	1960	504	1140	760	1917
110100	110100	1	7	1960	1960	50	258	196	512
110100	110100	1	1	1949	1949	179	722	510	1443
110100	110100	1	6	1958	1958	60	224	181	783
110100	110100	1	9	1949	1949	66	600	405	1619
110100	110100	1	12	1954	1954	710	1730	1117	2795
110100	110100	1	1	1953	1953	90	475	376	1058
110100	110100	1	4	1970	1970	226	616	473	1283
110100	110100	1	4	-99	1956.2	400	818	599	1896
110100	110100	1	13	1958	1958	530	1315	923	2178
110100	110100	1	15	1976	1976	70	207	169	343
110100	110100	1	1	1958	1958	513	1286	861	2583
110100	110100	1	1	1957	1957	36	330	242	1166
110100	110100	1	1	1984	1984	1350	2242	1241	-99
110100	110100	1	1	1969	1969	255	536	368	1439
110100	110100	1	1	1984	1984	421	790	450	163
110100	110100	1	1	1958	1958	552	1296	660	384
110100	110100	1	1	1983	1983	26	89	70	-99
110100	110100	1	1	1959	1959	163	414	312	1058
110100	110100	1	1	1964	1964	122	381	272	918
110100	110100	1	1	1957	1957	277	615	408	1734
110100	110100	1	4	1955	1955	293	741	511	996
110100	110100	1	10	1958	1958	525	1156	846	2177
110100	110100	1	17	1950	1950	360	525	266	86
110100	110100	1	2	1984	1984	40	167	92	51
110100	110100	1	1	1960	1960	140	390	288	998
110100	110100	1	1	1975	1975	75	234	182	692
110100	110100	1	1	1953	1953	78	302	219	968
110100	110100	1	1	1957	1957	100	288	211	640
110100	110100	1	5	1958	1958	350	612	351	137
110100	110100	1	1	1982	1982	80	238	189	671
110100	110100	1	7	1957	1957	204	332	198	77
110100	110100	1	1	1951	1951	202	455	325	982
110221	110221	1	1	1952	1952	166	414	287	1078
110221	110221	1	1	1976	1976	48	149	108	375
110224	110224	1	1	1950	1950	172	410	314	772
110225	110225	1	1	1956	1956	279	437	326	969
110225	110225	1	1	1952	1952	120	275	216	780
110223	110223	1	1	1903	1903	401	668	465	1572
